recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score,source_export,conversionRate,launchDate,paymentStatus,paymentRiskLevel,commissionMin,commissionMax,cookieLength,parentSectors,averagePaymentTime,descriptionShort
request_to_join_p1_scrape_likely,337.0,Isme Swim US,ismeswim.com,Okendo;Loox;Yotpo,yes,yes,swim_shapewear;bottoms_denim_active;general_womenswear,Clothing,Clothing|Clothing Accessories|Sportswear|Womenswear,93.06,0.67,63.5117,no,no,US,https://ismeswim.com/,https://ismeswim.com/products/light-house-brazilian-bottoms | https://ismeswim.com/products/light-house-boyshorts | https://ismeswim.com/products/light-house-triangle-top | https://ismeswim.com/products/oceana-boyshorts | https://ismeswim.com/products/oceana-high-cut-bottoms,no,no,no,no,http_200;products_json_8,,121338,230.0,AWIN_AllClothingAdvertisers.csv,8.89984,2025-10-31,amber,exposurelevel1,0,0,30,Retail & Shopping,62,"Brazilian-born, California-based swimwear brand blending unique textures, flattering cuts, and relatable/organic marketing strategies. Featured in Sports Illustrated 5x in 2025 and loved by Gen Z. ""Every college girl knows about Isme Swim""."
maybe_join_manual_review_probe,336.8,HK FOUR IN ONE CO LIMITED,ododos.co,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Clothing|Clothing Accessories|Lingerie|Menswear|Sportswear|Womenswear,25.00,0.09,0,no,yes,US,https://www.ododos.co,https://ododos.co/products/3-pack-odstratum-men-performance-tank-5513 | https://ododos.co/products/odstratum-5-men-performance-shorts-adjustable-waist-secure-pockets-5211 | https://ododos.co/products/odstratum-30-men-adjustable-waist-joggers-secure-pockets-5217 | https://ododos.co/products/3-pack-odstratum-men-performance-t-shirt-5612 | https://ododos.co/products/lightweight-quilted-backpack-035a,no,no,no,no,http_200;products_json_6,,62385,320.0,AWIN_AllClothingAdvertisers.csv,1.11111,2025-07-30,green,none,0,0,14,Retail & Shopping,66,"ODODOS Affiliate Program Overview Welcome to the ODODOS Affiliate Program—where fashion meets function in activewear! ODODOS is a dynamic brand committed to providing high-quality, stylish, and affordable activewear designed for the modern, a"
skip_existing_or_refresh_only,335.5,EBY (US),shop.join-eby.com,Okendo,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Clothing|Clothing Accessories|Lingerie|Womenswear,77.38,0.00,43.5102,yes,no,US,https://shop.join-eby.com/,https://shop.join-eby.com/products/mint-jelly-sheer-bralette | https://shop.join-eby.com/products/sugar-rush-sheer-bralette | https://shop.join-eby.com/products/berry-milkshake-sheer-bralette,yes,yes,no,yes,home_ok,,70897,230.0,AWIN_AllClothingAdvertisers.csv,0.023269,2024-01-02,amber,exposurelevel2,0,0,30,Retail & Shopping,158,"EBY (Empowered By You) is dedicated to providing ashtonishly comfortable premium intimates in sizes XS - 4X. In addition, EBY supports women transitioning out of poverty, with a portion of every sale contributing to loans that break the cycle of poverty."
maybe_join_manual_review_probe,335.0,Unique Kulture Affiliate Program,unique-kulture.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Clothing|Clothing Accessories|Lingerie|Menswear|Shoes|Sportswear|Womenswear,0.00,0.00,0,yes,no,US,https://www.unique-kulture.com,,no,no,no,no,http_402;http_402,,116351,320.0,AWIN_AllClothingAdvertisers.csv,,2025-05-22,amber,exposurelevel4,0,0,30,Retail & Shopping,null,"Earn commissions promoting Unique Kulture’s bold, eco-friendly fashion. 8% per sale, 30-day cookie, fast payouts. Join our community and inspire style with sustainable, unique apparel!"
request_to_join_p1_scrape_likely,329.6,Huha Underwear,hu-ha.com,Yotpo,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Lingerie|Womenswear,100.00,0.23,0,no,no,US,https://hu-ha.com/,https://hu-ha.com/products/black-triangle-bra | https://hu-ha.com/products/black-string-bra | https://hu-ha.com/products/black-tata-bralette,no,no,no,no,home_ok,,102461,230.0,AWIN_AllClothingAdvertisers.csv,9.375,2025-03-27,green,none,0,0,30,Retail & Shopping,44,"Huha is better-for-you underwear that cares for your most intimate parts, featuring easy-wearing designs come in sizes 2XS-3XL., Infused with soothing, antimicrobial zinc oxide for ultimate peace-of-mind. Underwear that cares for you, down there."
request_to_join_p1_scrape_likely,327.1,Cosabella (US),cosabella.com,Stamped,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Lingerie|Womenswear,55.75,0.55,51.2786,no,no,US,https://cosabella.com/,https://cosabella.com/products/savona-reggiseno-a-fascia-lucia-linaria-it | https://cosabella.com/products/savona-perizoma-a-vita-media-lucia-linaria-it | https://cosabella.com/products/savona-tanga-mit-mittlerem-bund-lucia-linaria-de,no,no,no,no,home_ok,,123662,230.0,AWIN_AllClothingAdvertisers.csv,4.13653,2026-01-27,amber,exposurelevel2,0,0,30,Retail & Shopping,54,"Cosabella is a female-founded lingerie and loungewear brand that merges romantic craftsmanship with contemporary design, celebrating comfort, individuality, and timeless style. Our collections include lingerie and sleepwear made for every day."
request_to_join_p1_scrape_likely,322.4,Shebird,shebirdshop.com,Okendo,yes,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Clothing,100.00,0.37,81.2491,yes,yes,US,https://www.shebirdshop.com,https://www.shebirdshop.com/products/tear-drop-bra-pad | https://www.shebirdshop.com/products/the-alia-knit-bra-top | https://www.shebirdshop.com/products/the-savannah-strappy-dress,no,no,no,no,home_ok,,95059,195.0,AWIN_AllClothingAdvertisers.csv,1.5459,2025-07-24,green,none,0,0,14,,38,"SheBird is redefining ready-to-wear with our signature built-in bra technology that gives women comfort, confidence, and freedom in every piece. Our super stylish pieces are all you'll need in your closet - work, yoga, date nights, travel. We got you!"
request_to_join_p1_scrape_likely,320.5,Snag Tights US,snagtights.us,Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Womenswear,Clothing|Clothing Accessories|Lingerie|Womenswear,76.72,0.01,0,no,no,US,https://snagtights.us/,https://snagtights.us/products/mixed-denier-tights-moonlit-black | https://snagtights.us/products/activewear-tee-debbie-black | https://snagtights.us/products/swimwear-the-need-for-speed-top,no,no,no,no,home_ok,,118621,230.0,AWIN_AllClothingAdvertisers.csv,0.589612,2025-08-08,amber,exposurelevel1,0,0,30,Retail & Shopping,138,"Snag is a purpose-led brand serving those excluded by mainstream fashion. Everything comes in sizes 2–34, and we individually fit every size on real models - no lazy scaling- so every piece is made to truly fit every body, not just one standard size."
maybe_join_manual_review_probe,313.4,Torrid (US & Canada),torrid.com,unknown,unknown,yes,full_bust_lingerie;plus_curve;general_womenswear,Womenswear,Clothing|Clothing Accessories|Lingerie|Shoes|Womenswear,34.21,0.08,16.2019,yes,no,US,https://www.torrid.com/,,no,no,no,no,http_302;http_410,,20059,290.0,AWIN_AllClothingAdvertisers.csv,0.79972,2020-08-20,amber,exposurelevel2,0,0,7,Retail & Shopping,115,"At Torrid, fit matters. That’s why we’ve broken the rules of design and spent years perfecting our fits. And because we don’t believe curvy bodies should change to fit clothes, we’ve changed clothes to fit curvy bodies."
request_to_join_p1_scrape_likely,305.0,SOL SWIM,shopsolswim.com,Judge.me,yes,yes,swim_shapewear;bottoms_denim_active;general_womenswear,Clothing,Clothing|Clothing Accessories|Sportswear|Womenswear,0.00,0.00,0,no,no,US,https://www.shopsolswim.com/,https://www.shopsolswim.com/products/florencia-cherish-bottom | https://www.shopsolswim.com/products/lupita-underwire-cherish-top | https://www.shopsolswim.com/products/delfina-white-one-piece-swimsuit,no,no,no,no,home_ok,,118467,230.0,AWIN_AllClothingAdvertisers.csv,,2025-08-22,amber,exposurelevel4,0,0,30,Retail & Shopping,null,"SOL SWIM is a Latinx-owned online boutique specializing in high-end swimwear and resort wear, offering timeless, elegant, and fashion-forward pieces designed for sun soaked escapes."
skip_existing_or_refresh_only,305.0,FIND ME NOW (US),findmenowthelabel.com,Loox,yes,yes,full_bust_lingerie;general_womenswear,Womenswear,Clothing|Clothing Accessories|Lingerie|Shoes|Womenswear,0.00,0.00,0,no,no,US,https://findmenowthelabel.com/,https://findmenowthelabel.com/products/flutter-top-skirt-1 | https://findmenowthelabel.com/products/nara-tube-top-butter-dot | https://findmenowthelabel.com/products/fabio-voile-jacket-in-lilac,yes,yes,no,yes,home_ok,,120073,230.0,AWIN_AllClothingAdvertisers.csv,,2026-04-06,amber,exposurelevel4,0,0,30,Retail & Shopping,null,"Find Me Now is a women-owned label rooted in fabric innovation and storytelling. Our collections bring together comfort, style, and community—elevating the everyday routine."
request_to_join_p1_scrape_likely,305.0,Boux Avenue US,bouxavenue.com,Bazaarvoice,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Clothing|Lingerie|Womenswear,0.00,0.00,0,no,no,US,https://www.bouxavenue.com/us,,no,no,no,no,home_ok,,67052,230.0,AWIN_AllClothingAdvertisers.csv,,2023-11-16,amber,exposurelevel4,0,0,60,Retail & Shopping,null,"Boux Avenue is a London designed lingerie, nightwear and swimwear destination. A luxury brand at affordable prices, Boux Avenue combines romance with design flair and enviable attention to detail. The unique blend of nostalgic and contemporary design make"
request_to_join_p1_scrape_likely,302.6,Meira Active,meiraactive.com,Judge.me,yes,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Clothing,100.00,0.13,0,no,yes,US,https://meiraactive.com,https://meiraactive.com/products/activewear-zip-tank-top | https://meiraactive.com/products/smooth-duo®-pocket-legging-2-0 | https://meiraactive.com/products/double-trouble-built-in-thong-bike-shorts-bundle,no,no,no,no,home_ok,,95495,195.0,AWIN_AllClothingAdvertisers.csv,1.69492,2025-07-30,green,none,0,0,30,Retail & Shopping,null,Meira Active is a New York based woman led and owned activewear brand focused on solving issues many women face. We invented the first ever leggings and bike shorts with built-in underwear™ designed to stay smooth over your shape and mitigate pa
request_to_join_p1_scrape_likely,302.0,UNTUCKit (US),untuckit.com,Yotpo;Bazaarvoice,yes,yes,bottoms_denim_active;plus_curve;general_womenswear,Menswear,Clothing|Menswear|Womenswear,91.97,0.68,66.5746,yes,no,US,https://www.untuckit.com/,https://www.untuckit.com/products/day-performance-polo-green-milieu | https://www.untuckit.com/products/performance-hat-1 | https://www.untuckit.com/products/no-show-sock-real-teal,no,no,no,no,home_ok,,52525,180.0,AWIN_AllClothingAdvertisers.csv,5.78888,2023-07-25,amber,exposurelevel4,0,0,30,Retail & Shopping,149,"UNTUCKit creates shirts designed to be worn untucked—and all the styles that go with it. That includes The Original Untucked Shirt, plus the polos, pants, Henleys, sweaters, and more—all made to keep you looking sharp, even at your most casual."
maybe_join_manual_review_probe,300.0,Yours Clothing US,yoursclothing.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;plus_curve;general_womenswear,Womenswear,Childrenswear|Clothing Accessories|Jewellery|Lingerie|Shoes|Sportswear|Womenswear,0.00,0.00,0,no,no,US,https://www.yoursclothing.com/,,no,no,no,no,http_403;http_403,,46979,300.0,AWIN_AllClothingAdvertisers.csv,,2023-03-22,green,none,0,0,30,Retail & Shopping,null,"Yours Clothing, the home of plus size fashion in US sizes 10 to 36. Delivering fashion for everybody at affordable prices, we mix comfort and style so our customers feel their best, all the time."
request_to_join_p1_scrape_likely,298.2,Runderwear US,runderwear.com,Shopify Product Reviews,yes,yes,full_bust_lingerie;bottoms_denim_active,Sportswear,Clothing|Sportswear,100.00,0.16,52.6798,no,no,US,https://runderwear.com/,https://runderwear.com/products/balance-sports-bra | https://runderwear.com/products/mens-ultra-light-running-shorts | https://runderwear.com/products/womens-ultra-light-running-shorts | https://runderwear.com/products/mens-running-briefs-grey-multibuy-x3 | https://runderwear.com/products/power-zest-running-bra,no,no,no,no,http_200;products_json_8,,124076,200.0,AWIN_AllClothingAdvertisers.csv,2.33023,2026-02-20,amber,exposurelevel1,0,0,30,Retail & Shopping,null,"Runderwear, the original performance underwear for running, aims to enable comfortable movement by eliminating discomfort from ill-fitting clothing. We create innovative, chafe-free running gear that helps runners perform their best without distractions."
request_to_join_p1_scrape_likely,295.2,Urbody Functional Fashion,urbody.co,Okendo;Loox;Yotpo,yes,yes,full_bust_lingerie;bottoms_denim_active,Clothing,Clothing,100.00,0.01,52.1503,yes,yes,US,https://www.urbody.co,https://urbody.co/products/racerback-cotton-compression-sports-top | https://urbody.co/products/half-tank-modal-compression-top | https://urbody.co/products/modal-scoop-bralette | https://urbody.co/products/modal-boxer-brief | https://urbody.co/products/modal-tucking-bikini-brief,no,no,no,no,http_200;products_json_8,,96695,175.0,AWIN_AllClothingAdvertisers.csv,0.482625,2025-07-30,green,none,0,0,90,Retail & Shopping,74,"Urbody Functional Fashion is a gender-affirming underwear and activewear brand expanding options for trans, non-binary, genderfluid, and gender non-conforming folks. By designing gender-inclusive collections that address the fit and style needs"
request_to_join_p1_scrape_likely,292.8,Memoi,memoi.com,Bazaarvoice,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Childrenswear|Clothing|Clothing Accessories|Lingerie|Menswear|Womenswear,99.15,1.15,61.3975,yes,yes,US,https://memoi.com,https://memoi.com/products/summer-checkered-beach-towel | https://memoi.com/products/les-plumes-knee-high | https://memoi.com/products/black-bear-cotton-compression-socks,no,no,no,no,home_ok,,92625,150.0,AWIN_AllClothingAdvertisers.csv,23.0108,2025-07-24,green,none,0,0,90,Retail & Shopping,60,"Welcome to MeMoi - Fashion legwear and more for the entire family. We offer a full line of women's, kids and men's hosiery & socks, as well as support hosiery, period and incontinence briefs. We also offer a select line of slippers & l"
request_to_join_p1_scrape_likely,292.2,AVIANAYA LLC DBA Journelle,journelle.com,Judge.me,yes,yes,full_bust_lingerie,Lingerie,Clothing|Lingerie,67.07,0.19,53.3796,yes,yes,US,https://journelle.com,https://www.journelle.com/products/cos-amore9431-black-moon-ivory | https://www.journelle.com/products/jou-6114-05-ciel | https://www.journelle.com/products/jou-6114-02-ivory,no,no,no,no,home_ok,,35237,175.0,AWIN_AllClothingAdvertisers.csv,3.84403,2025-08-14,green,none,0,0,30,Retail & Shopping,59,"Journelle pays commission on Journelle brand SKUs ONLY, at 20% for full price and 5% for sale price. The AOV is $190."
request_to_join_p1_scrape_likely,275.6,Beldrie,beldrie.com,Yotpo,yes,yes,bottoms_denim_active;dresses_formal;general_womenswear,Sportswear,Sportswear|Womenswear,100.00,0.03,61.959,no,no,US,https://beldrie.com/,https://beldrie.com/products/free-returns-package-protection | https://beldrie.com/products/shorts | https://beldrie.com/products/collared-dress | https://beldrie.com/products/mock-dress | https://beldrie.com/products/slit-skort,no,no,no,no,http_200;products_json_8,,119563,180.0,AWIN_AllClothingAdvertisers.csv,0.289855,2025-09-18,amber,exposurelevel1,0,0,30,Retail & Shopping,63,"Golf apparel should do more than just meet a dress code—it should make you feel confident, comfortable, and like yourself. That’s why we design flattering, functional pieces that move with you and bring joy to your game"
request_to_join_p1_scrape_likely,275.0,Moodytiger (US),moodytiger.com,Judge.me,yes,yes,bottoms_denim_active;general_womenswear,Childrenswear,Childrenswear|Clothing|Clothing Accessories|Menswear|Sportswear|Womenswear,100.00,1.34,69.7165,no,yes,US,https://moodytiger.com,https://moodytiger.com/products/breathable-kids-leggings-breezy | https://moodytiger.com/products/kids-short-sleeve-tee-fairy | https://moodytiger.com/products/kids-printed-skirt-fairy,no,no,no,no,home_ok,,114120,145.0,AWIN_AllClothingAdvertisers.csv,9.91612,2025-03-19,amber,exposurelevel1,0,0,30,Retail & Shopping,62,"Founded in 2018, moodytiger is a global children's sports lifestyle brand,dedicated to crafting products tailored to the needs of children. Our product lines cover tennis, swimming, surfing, skiling, skating, golf and more."
request_to_join_p1_scrape_likely,275.0,ucalingerie.com,ucalingerie.com,Stamped,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing,100.00,1.47,61.8132,yes,yes,US,https://ucalingerie.com,https://ucalingerie.com/products/lina-pink-floral-lace-underwired-plunge-long-bra | https://ucalingerie.com/products/lina-plus-pink-floral-lace-underwired-plunge-long-bra | https://ucalingerie.com/products/cindy-lace-push-up-underwired-molded-cup-demi-long-bra,no,no,no,no,home_ok,,114956,130.0,AWIN_AllClothingAdvertisers.csv,11.0225,2025-07-29,green,none,0,0,60,Retail & Shopping,71,"Ucalingerie.com is a popular one-stop online fashion store, providing a wide range of women’s lingerie and swimwear at reasonable prices with Global Free Shipping. We are looking for good quality website owners/ bloggers/ social media publishers"
request_to_join_p1_scrape_likely,274.0,Kinkly,kinkly.com,Judge.me,yes,yes,full_bust_lingerie,Erotic,Erotic|Lingerie|Toys & Games,82.05,0.38,71.6282,no,no,US,https://kinkly.com/,,no,no,no,no,home_ok,,115941,175.0,AWIN_AllClothingAdvertisers.csv,11.8925,2025-05-16,amber,exposurelevel4,0,0,30,Retail & Shopping,116,"Kinkly is your playful destination for body-safe sex toys, sensual essentials, and expert sex-ed. Enjoy discreet shipping, flirty vibes, and endless pleasure possibilities—explore confidently and embrace your kinky side!"
request_to_join_p1_scrape_likely,270.8,Le Col US,lecol.cc,Yotpo;Bazaarvoice,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Clothing|Clothing Accessories|Gifts & Flowers|Menswear|Sports Equipment|Sportswear|Womenswear,100.00,0.29,48.4211,yes,yes,US,https://lecol.cc/,https://lecol.cc/products/lc__cc-womens-pro-air-jersey-dawn-to-dusk | https://lecol.cc/products/lc__cc-pro-air-jersey-dawn-to-dusk | https://lecol.cc/products/lc__cc-womens-pro-aero-jersey,no,no,no,no,home_ok,,24543,145.0,AWIN_AllClothingAdvertisers.csv,3.39253,2021-10-14,amber,exposurelevel4,0,0,30,Retail & Shopping,94,"Be a part of the Le Col success story! Founded by professional cyclist and rider for team GB, Yanto Barker, Le Col is a premium British cycling apparel brand with a single-minded focus on performance."
request_to_join_p1_scrape_likely,270.4,Scarlett Gasque (US),scarlettgasque.com,Okendo,yes,yes,full_bust_lingerie,Lingerie,Clothing|Clothing Accessories|Lingerie,100.00,0.02,0,no,no,US,https://www.scarlettgasque.com/,https://www.scarlettgasque.com/products/arcadia-corset-floral | https://www.scarlettgasque.com/products/sonnet-scrunchie | https://www.scarlettgasque.com/products/isla-crochet-mini-dress,no,no,no,no,home_ok,,67752,175.0,AWIN_AllClothingAdvertisers.csv,0.0538213,2023-12-19,amber,exposurelevel4,0,0,30,Retail & Shopping,null,"Scarlett Gasque aims to use only the highest quality materials to ensure our lingerie contours the natural curvatures of your body, ensuring you feel confident, glamorous, and sensual."
request_to_join_p1_scrape_likely,270.0,Johanna Ortiz,johannaortiz.com,Okendo;Loox;Yotpo,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Clothing Accessories|Jewellery|Lingerie|Womenswear,100.00,6.81,66.7986,no,no,US,https://www.johannaortiz.com/,https://johannaortiz.com/products/salty-promises-shirt-in-navy | https://johannaortiz.com/products/cabalgando-shirt-in-green | https://johannaortiz.com/products/jump-for-joy-necklace-in-ecru-lbm | https://johannaortiz.com/products/soul-of-the-river-necklace-in-gold | https://johannaortiz.com/products/sunlit-gaucho-dream-necklace-in-gold,no,no,no,no,http_200;products_json_8,,123418,150.0,AWIN_AllClothingAdvertisers.csv,1.11741,2026-01-15,amber,exposurelevel4,0,0,30,Retail & Shopping,null,"Johanna Ortiz was founded in 2003 in Cali, Colombia. For twenty years, the JO brand has grown organically and sustainably."
