queue_status,sovrn_score,priority,merchant_group,primary_domain,payout_priority_rank,pricing,avg_conversion_rate_examples,avg_commission_rate_examples,avg_order_value_examples,estimated_commission_per_click,review_provider,photo_reviews,reviews_present,ships_to_country_codes,shipping_geo_status,category_evidence_url,sample_pdp_urls,integration_note,source_tracker,human_findings,final_queue_decision,final_queue_notes
sovrn_first_pass_scrape_candidate,35,P2,Wild Secrets Lingerie AU,wildsecretslingerie.com.au,14,CPA+CPC,,,,,unknown,unknown_sample_too_small,yes,AU|NZ|US,known_country_list,https://www.wildsecretslingerie.com.au/info/page/shopping-info/privacy-and-discretion,,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,35,P2,Wild Secrets Lingerie NZ,wildsecretslingerie.co.nz,15,CPA,,,,,unknown,unknown_sample_too_small,yes,AU|NZ|US,known_country_list,https://www.wildsecretslingerie.co.nz/info/page/shopping-info/privacy-and-discretion,,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,75,P2,Abrand Jeans,abrandjeans.com,16,CPC,,,,,Okendo,yes,yes,US,market_specific_url,https://abrandjeans.com/collections/womens-clothing-new-arrivals,https://abrandjeans.com/products/00-wide-eva | https://abrandjeans.com/products/00-wide-tara | https://abrandjeans.com/products/00-wide-kaia-worn,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,65,P3,LASCANA - It´s a woman´s world,lascana.at,17,CPC,,,,,Yotpo,yes,yes,DE|US,known_country_list,https://www.lascana.com/Dresses,"https://www.lascana.com/Wrap-Look-Dress,3506?ThumbProductID=30259&ThumbProductColorID=GYPR | https://www.lascana.com/Bandeau-Maxi-Dress,9122?ThumbProductID=28956&ThumbProductColorID=BKTP | https://www.lascana.com/Wrap-Look-Dress,9253?ThumbProductID=30259&ThumbProductColorID=BRPR",,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,60,P2,Foxy Intimates LLC,foxylingerie.com,18,CPC,,,,,unknown,yes,yes,US,market_specific_url,https://www.foxylingerie.com/collections/swimsuit-tops,https://www.foxylingerie.com/products/sunset-gradient-ring-bikini-set | https://www.foxylingerie.com/products/starfish-charm-scallop-bikini-set,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,60,P2,Rolla's Jeans,rollasjeans.com,19,CPC,,,,,unknown,yes,yes,US,market_specific_url,https://rollasjeans.com/collections/womens/clothing/tops,https://rollasjeans.com/products/petal-bloom-blouse | https://rollasjeans.com/products/script-ringer-tee | https://rollasjeans.com/products/classic-ringer-tee-petite-logo-cream,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,55,P2,Synergy Organic Clothing,synergyclothing.com,20,CPC,,,,,unknown,yes,yes,US,market_specific_url,https://www.synergyclothing.com/category/shop-organic/womens-collection/,,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,55,P2,TB Dress,cart.tbdress.com,21,CPC,,,,,unknown,yes,yes,US,market_specific_url,https://www.tbdress.com/factory/132,,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,40,P2,lingerie.co.uk,lingerie.co.uk,22,CPC,,,,,unknown,unknown_sample_too_small,yes,GB,market_specific_url,https://www.lingerie.co.uk/nightdresses-pyjamas,https://www.lingerie.co.uk/wishlist/index/add/product/59359/ | https://www.lingerie.co.uk/wishlist/index/add/product/87950/ | https://www.lingerie.co.uk/wishlist/index/add/product/87564/,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
human_review_do_not_queue,85,P1,boohoo,au.boohoo.com,,CPC,,,,,Bazaarvoice,yes,yes,AU|CA|DE|FR|GB|IE|NL|SE|US,known_country_list,https://www.boohoo.com/categories/womens-collections-activewear,https://www.boohoo.com/product/dsgn-studio-dsgn-studio-highwaist-sculpt-wrap-waist-legging_xtt00301?colour=black | https://www.boohoo.com/product/boohoo-tall-cotton-jersey-folded-waistband-yoga-flares_gzz76087?colour=black | https://www.boohoo.com/product/dsgn-studio-dsgn-studio-sculpt-high-waist-deep-waistband-legging_xtt00052?colour=navy,existing-sheet-conflict,sovrn_commerce_apparel_triage_tracker.csv,no reviews available,do_not_queue,Human review: no reviews available.
human_review_do_not_queue,85,P1,Boohoo.com NO,boohoo.com,,CPC,,,,,Bazaarvoice,yes,yes,AU|DE|FR|GB|IE|NL|SE|US,known_country_list,https://www.boohoo.com/categories/womens-collections-activewear,https://www.boohoo.com/product/dsgn-studio-dsgn-studio-highwaist-sculpt-wrap-waist-legging_xtt00301?colour=black | https://www.boohoo.com/product/boohoo-tall-cotton-jersey-folded-waistband-yoga-flares_gzz76087?colour=black | https://www.boohoo.com/product/dsgn-studio-dsgn-studio-sculpt-high-waist-deep-waistband-legging_xtt00052?colour=navy,duplicate-merchant-group,sovrn_commerce_apparel_triage_tracker.csv,no reviews available,do_not_queue,Human review: no reviews available; duplicate boohoo row should not become separate scrape work.
human_review_do_not_queue,85,P1,boohooman.com,boohooman.com,,CPA+CPC,8.5%,3.0%,$119.5,$0.30,Bazaarvoice,yes,yes,AU|BE|CA|DE|FR|GB|IE|NL|US,known_country_list,https://www.boohooman.com/categories/womens,https://www.boohooman.com/product/boohoo-strappy-cami-vest-top-and-sweat-short-set_hzz55717?colour=black | https://www.boohooman.com/product/boohoo-linen-look-tie-front-top-wide-leg-trouser-co-ord_hzz45356?colour=lemon | https://www.boohooman.com/product/boohoo-slub-raglan-sleeve-fitted-top_hzz57302?colour=red,,sovrn_commerce_apparel_triage_tracker.csv,out of scope- no women's clothing,do_not_queue,Human review: out of scope; no women's clothing.
human_review_do_not_queue,75,P2,Mugsy Jeans,mugsyjeans.com,,CPA+CPC,25.0%,,$156.0,,Okendo,yes,yes,US,market_specific_url,https://mugsyjeans.com/collections/all-tops,https://mugsyjeans.com/products/gift-card-1,sample-pdp-gift-card-needs-manual-check,sovrn_commerce_apparel_triage_tracker.csv,out of scope- no women's clothing,do_not_queue,Human review: out of scope; no women's clothing.
human_review_do_not_queue,75,P2,SPARTAN Underwear,getlambs.com,,CPC,,,,,Yotpo,yes,yes,US,market_specific_url,https://havnwear.com/collection/womens-emf-blocking-underwear,https://havnwear.com/product/wavestopper-laptop-pad,merchant-domain-mismatch-getlambs/havnwear,sovrn_commerce_apparel_triage_tracker.csv,only one non-hat product. Skip,do_not_queue,Human review: only one non-hat product; skip.
human_review_do_not_queue,65,P1,Chico's,chicos.com,,CPA+CPC,6.95%,1.24%,$71.78,$0.06,Bazaarvoice,unknown_sample_too_small,yes,US,market_specific_url,https://www.chicos.com/store/category/dresses/cat40004,https://www.chicos.com/store/product/printed-cotton-linen-belted-dress/570409483?inseam=regular&sizeType=regular&color=6913&catId=cat40004&collectionId=category&queryId=74d98189e9fc045f338491e03320f05c&indexName=prod_chs_products&parentId=196536756143 | https://www.chicos.com/store/product/faux-satin-sleeveless-dress/570411785?inseam=regular&sizeType=regular&color=7031&catId=cat40004&collectionId=category&queryId=74d98189e9fc045f338491e03320f05c&indexName=prod_chs_products&parentId=196536843485 | https://www.chicos.com/store/product/embroidered-jacquard-belted-dress/570411043?inseam=regular&sizeType=regular&color=6913&catId=cat40004&collectionId=category&queryId=74d98189e9fc045f338491e03320f05c&indexName=prod_chs_products&parentId=196536910262,existing-sheet-not-scrapable-conflict,sovrn_commerce_apparel_triage_tracker.csv,no picture reviews,do_not_queue,Human review: no picture reviews.
human_review_do_not_queue,65,P1,Chico's Off The Rack,chicosofftherack.com,,CPC,,,,,Bazaarvoice,unknown_sample_too_small,yes,US,market_specific_url,https://www.chicos.com/store/category/dresses/cat40004,https://www.chicos.com/store/product/printed-cotton-linen-belted-dress/570409483?inseam=regular&sizeType=regular&color=6913&catId=cat40004&collectionId=category&queryId=a43a2118a1fd3fc98d189c8556dea97d&indexName=prod_chs_products&parentId=196536756143 | https://www.chicos.com/store/product/faux-satin-sleeveless-dress/570411785?inseam=regular&sizeType=regular&color=7031&catId=cat40004&collectionId=category&queryId=a43a2118a1fd3fc98d189c8556dea97d&indexName=prod_chs_products&parentId=196536843485 | https://www.chicos.com/store/product/embroidered-jacquard-belted-dress/570411043?inseam=regular&sizeType=regular&color=6913&catId=cat40004&collectionId=category&queryId=a43a2118a1fd3fc98d189c8556dea97d&indexName=prod_chs_products&parentId=196536910262,probable-domain-mismatch,sovrn_commerce_apparel_triage_tracker.csv,no picture reviews,do_not_queue,Human review: no picture reviews.
human_review_do_not_queue,55,P2,Clothes Outdoor,clothesoutdoor.com,,CPC,,,,,unknown,yes,yes,US,market_specific_url,https://clothesoutdoor.com/collections/hot-sale,,,sovrn_commerce_apparel_triage_tracker.csv,website is broken. No need to scrape.,do_not_queue,Human review: website is broken.
human_review_do_not_queue,55,P2,Senseng International Trading Limited,senseng-apparel.com,,CPA+CPC,,,,,Judge.me; Loox,unknown_sample_too_small,yes,US,market_specific_url,https://senseng-apparel.com/products/womens-boho-tie-dye-maxi-dress,https://senseng-apparel.com/products/boho-baby-girl-tie-dye-bubble-romper | https://senseng-apparel.com/products/mommy-me-natural-cool-wind-tie-dye-matching-set | https://senseng-apparel.com/products/boho-toddler-girl-tie-dye-twirl-dress,sample-pdps-kids/mommy-me-needs-manual-check,sovrn_commerce_apparel_triage_tracker.csv,not enough products - not worth scraping,do_not_queue,Human review: not enough products to be worth scraping.
human_review_do_not_queue,45,P1,Puma,ae.puma.com,,CPA+CPC,0.81%,5.2%,$93.29,$0.04,unknown,unknown_sample_too_small,yes,AE|AU|US,known_country_list,https://ae.puma.com/womens.html,,regional-site-manual-check,sovrn_commerce_apparel_triage_tracker.csv,no reviews,do_not_queue,Human review: no reviews.
human_review_do_not_queue,45,P1,Shopbop,cn.shopbop.com,,CPA+CPC,0.42%,1.0%,$85.58,$0.00,unknown,unknown_sample_too_small,yes,US,market_specific_url,https://www.shopbop.com/di/womens#headingA,,marketplace-like-retailer-manual-check,sovrn_commerce_apparel_triage_tracker.csv,no reviews,do_not_queue,Human review: no reviews.
human_review_do_not_queue,40,P2,Nau Clothing,nau.com,,CPC,,,,,unknown,unknown_sample_too_small,yes,US,market_specific_url,https://nau.com/product/list.html?cate_no=42,https://nau.com/product/list.html?cate_no=42 | https://nau.com/product/list.html?cate_no=29 | https://nau.com/product/recent_view_product.html,sample-links-not-clean-pdps,sovrn_commerce_apparel_triage_tracker.csv,"all items listed as ""not for sale"" no need to scrape",do_not_queue,Human review: all items listed as not for sale.
sovrn_false_positive_do_not_scrape,75,P2,Evolve Clothing,evolveclothing.com,,CPA+CPC,20.0%,3.0%,$76.9,$0.46,Reviews.io,yes,yes,US,market_specific_url,https://www.evolveclothing.com/en/Mens-Jeans/c-18.aspx,https://www.onetrust.com/products/cookie-consent/,false-positive-men-category/cookie-url,sovrn_commerce_apparel_triage_tracker.csv,,do_not_queue,false-positive-men-category/cookie-url
sovrn_false_positive_do_not_scrape,70,P2,Roco Clothing,rococlothing.co.uk,,CPA+CPC,6.98%,5.0%,$66.7,$0.23,Yotpo,yes,yes,GB|US,known_country_list,https://www.rococlothing.co.uk/babies/baby-boys/baby-boys-shirts/,,false-positive-kids-category,sovrn_commerce_apparel_triage_tracker.csv,,do_not_queue,false-positive-kids-category
sovrn_false_positive_do_not_scrape,55,P2,Petite Revery,petiterevery.com,,CPA,,,,,unknown,yes,yes,US,market_specific_url,https://petiterevery.nestdesigns.com/girls/t-shirts,,false-positive-kids-category,sovrn_commerce_apparel_triage_tracker.csv,,do_not_queue,false-positive-kids-category
sovrn_false_positive_do_not_scrape,50,P3,boutique dmc,boutique-dmc.fr,,CPA+CPC,11.11%,8.0%,$46.1,$0.41,unknown,yes,yes,CA|FR|US,known_country_list,https://www.dmc.com/yarn/tops-dresses-patterns,https://www.dmc.com/products/mouline-stranded-thread | https://www.dmc.com/products/pearl-cotton-thread | https://www.dmc.com/products/dmc-coton-perle-metallic-thread,false-positive-yarn/craft-products,sovrn_commerce_apparel_triage_tracker.csv,,do_not_queue,false-positive-yarn/craft-products
sovrn_false_positive_do_not_scrape,45,P3,Gillette Venus Women's Razors,gillettevenus.com,,CPC,,,,,Bazaarvoice; Loox,unknown_sample_too_small,yes,US,market_specific_url,https://www.gillettevenus.com/en-us/womens-shaving-guide/,https://www.gillettevenus.com/en-us/products/ | https://www.gillettevenus.com/en-us/products/refillable-razors/ | https://www.gillettevenus.com/en-us/products/refills/,false-positive-razors,sovrn_commerce_apparel_triage_tracker.csv,,do_not_queue,false-positive-razors
sovrn_false_positive_do_not_scrape,45,P3,Nua Woman,nuawoman.com,,CPC,,,,,unknown,yes,yes,US,market_specific_url,https://nuawoman.com/blog/category/womens-wellness/,,false-positive-wellness/content,sovrn_commerce_apparel_triage_tracker.csv,,do_not_queue,false-positive-wellness/content
sovrn_false_positive_do_not_scrape,40,P2,Antix Clothing,iloveantix.com,,CPC,,,,,unknown,unknown_sample_too_small,yes,US,market_specific_url,http://www.iloveantix.com/,http://www.iloveantix.com/product/jumbler-patches | http://www.iloveantix.com/product/death-before-diet-ice-cream-cone-longboard | http://www.iloveantix.com/product/jumblers-2017-enamel-pin,false-positive-accessory/board-products,sovrn_commerce_apparel_triage_tracker.csv,,do_not_queue,false-positive-accessory/board-products
sovrn_false_positive_do_not_scrape,35,P2,jeans-meile.de,jeans-meile.de,,CPC,,,,,unknown,unknown_sample_too_small,yes,DE,market_specific_url,https://www.jeans-meile.de/herren/shirts/logoshirt,,false-positive-men-category,sovrn_commerce_apparel_triage_tracker.csv,,do_not_queue,false-positive-men-category
sovrn_false_positive_do_not_scrape,25,P3,Fan Boutique,ventilateurs-plafond.com,,CPC,,,,,unknown,unknown_sample_too_small,yes,US,market_specific_url,https://www.ventilateurs-plafond.com/adresses,,false-positive-ceiling-fans,sovrn_commerce_apparel_triage_tracker.csv,,do_not_queue,false-positive-ceiling-fans
